fips1,name,year,ID2008,Textbox50,ID2009,Textbox53,ID2010,Textbox56,ID2011,Textbox59,ID20121,Textbox62,ID2013,Textbox65,ID20141,Textbox68,ID2015,Textbox71,ID20161,Textbox12,Textbox20,Textbox11
6000,California,2011,11.7,2012,10.4,2013,8.9,2014,7.5,2015,6.2,2016,5.5,2017,4.8,2018,4.3,2019,4,Median Household Income (2019),80423.00,1.0000
6001,"Alameda County, CA",2011,10.1,2012,8.7,2013,7.2,2014,5.8,2015,4.7,2016,4.3,2017,3.7,2018,3.1,2019,2.9,Median Household Income (2019),107589.00,1.3380
6003,"Alpine County, CA",2011,12.8,2012,11.2,2013,9.7,2014,8.2,2015,7.3,2016,6.3,2017,6,2018,4.6,2019,5.1,Median Household Income (2019),58112.00,0.7230
6005,"Amador County, CA",2011,13.6,2012,12.3,2013,10.3,2014,8.3,2015,6.6,2016,5.9,2017,5,2018,4.1,2019,3.8,Median Household Income (2019),62640.00,0.7790
6007,"Butte County, CA",2011,13.7,2012,12.2,2013,10.3,2014,8.6,2015,7.2,2016,6.6,2017,5.8,2018,5.1,2019,5.1,Median Household Income (2019),58394.00,0.7260
6009,"Calaveras County, CA",2011,14,2012,12.4,2013,9.9,2014,8,2015,6.4,2016,5.7,2017,4.7,2018,4.1,2019,3.8,Median Household Income (2019),68248.00,0.8490
6011,"Colusa County, CA",2011,21.2,2012,20.7,2013,18.9,2014,17.4,2015,15.4,2016,15.6,2017,14.2,2018,13.3,2019,12.8,Median Household Income (2019),59048.00,0.7340
6013,"Contra Costa County, CA",2011,10.3,2012,8.9,2013,7.5,2014,6.2,2015,5,2016,4.5,2017,3.8,2018,3.2,2019,3.1,Median Household Income (2019),106555.00,1.3250
6015,"Del Norte County, CA",2011,13.3,2012,13.5,2013,11.8,2014,10.1,2015,8.5,2016,7.5,2017,6.4,2018,5.7,2019,5.7,Median Household Income (2019),48979.00,0.6090
6017,"El Dorado County, CA",2011,11.7,2012,10.2,2013,8.5,2014,7,2015,5.7,2016,5.1,2017,4.4,2018,3.7,2019,3.5,Median Household Income (2019),86202.00,1.0720
6019,"Fresno County, CA",2011,16.5,2012,15.1,2013,13.3,2014,11.6,2015,10.2,2016,9.5,2017,8.5,2018,7.6,2019,7.2,Median Household Income (2019),56926.00,0.7080
